station,station_ft,page,raw_paths,after_grid_filter,post_merge_strict,post_merge_tolerant,noise_removed,filled_removed,candidates_remaining,scored_candidates,classification_rule,classification_confidence,eg_found,pg_found,status,eg_points,eg_length,eg_dash_ratio,eg_segments_merged,eg_color,eg_stroke_w,pg_points,pg_length,pg_dash_ratio,pg_segments_merged,pg_color,pg_stroke_w,signals_used,signal_votes,failure_reason
45+50,4550,104,940,587,455,349,268,0,81,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1120.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,223.7,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
46+00,4600,104,922,582,454,347,271,0,76,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,997.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,221.6,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
46+50,4650,104,679,415,320,254,191,0,63,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,987.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,219.5,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
47+00,4700,105,963,604,461,355,270,0,85,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,991.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,214.9,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
47+50,4750,105,837,513,393,282,210,0,72,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,977.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,203.9,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
48+00,4800,105,593,348,257,192,134,0,58,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,958.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,46,208.1,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
48+50,4850,106,794,488,367,261,191,0,70,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,30,958.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
49+00,4900,106,777,486,366,259,192,0,67,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,34,984.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
49+50,4950,106,530,316,232,166,114,0,52,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,31,980.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
49+54,4954,107,566,331,243,172,120,0,52,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,32,974.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
